uid treatment rep update task count partner
Grid0_10 Grid0 10 850 EQU 0 Host
Grid0_10 Grid0 10 850 EQU 0 Parasite
Grid0_10 Grid0 10 900 NOT 8339 Host
Grid0_10 Grid0 10 900 NOT 4211 Parasite
Grid0_10 Grid0 10 900 NAND 0 Host
Grid0_10 Grid0 10 900 NAND 6 Parasite
Grid0_10 Grid0 10 900 AND 2 Host
Grid0_10 Grid0 10 900 AND 2 Parasite
Grid0_10 Grid0 10 900 ORN 0 Host
Grid0_10 Grid0 10 900 ORN 2 Parasite
Grid0_10 Grid0 10 900 OR 3 Host
Grid0_10 Grid0 10 900 OR 4 Parasite
Grid0_10 Grid0 10 900 ANDN 1 Host
Grid0_10 Grid0 10 900 ANDN 0 Parasite
Grid0_10 Grid0 10 900 NOR 0 Host
Grid0_10 Grid0 10 900 NOR 0 Parasite
Grid0_10 Grid0 10 900 XOR 0 Host
Grid0_10 Grid0 10 900 XOR 0 Parasite
Grid0_10 Grid0 10 900 EQU 0 Host
Grid0_10 Grid0 10 900 EQU 0 Parasite
Grid0_10 Grid0 10 950 NOT 8343 Host
Grid0_10 Grid0 10 950 NOT 4210 Parasite
Grid0_10 Grid0 10 950 NAND 0 Host
Grid0_10 Grid0 10 950 NAND 5 Parasite
Grid0_10 Grid0 10 950 AND 1 Host
Grid0_10 Grid0 10 950 AND 1 Parasite
Grid0_10 Grid0 10 950 ORN 0 Host
Grid0_10 Grid0 10 950 ORN 3 Parasite
Grid0_10 Grid0 10 950 OR 0 Host
Grid0_10 Grid0 10 950 OR 2 Parasite
Grid0_10 Grid0 10 950 ANDN 1 Host
Grid0_10 Grid0 10 950 ANDN 1 Parasite
Grid0_10 Grid0 10 950 NOR 0 Host
Grid0_10 Grid0 10 950 NOR 1 Parasite
Grid0_10 Grid0 10 950 XOR 0 Host
Grid0_10 Grid0 10 950 XOR 0 Parasite
Grid0_10 Grid0 10 950 EQU 0 Host
Grid0_10 Grid0 10 950 EQU 0 Parasite
Grid0_10 Grid0 10 1000 NOT 8338 Host
Grid0_10 Grid0 10 1000 NOT 3957 Parasite
Grid0_10 Grid0 10 1000 NAND 0 Host
Grid0_10 Grid0 10 1000 NAND 4 Parasite
Grid0_10 Grid0 10 1000 AND 1 Host
Grid0_10 Grid0 10 1000 AND 0 Parasite
Grid0_10 Grid0 10 1000 ORN 2 Host
Grid0_10 Grid0 10 1000 ORN 0 Parasite
Grid0_10 Grid0 10 1000 OR 1 Host
Grid0_10 Grid0 10 1000 OR 3 Parasite
Grid0_10 Grid0 10 1000 ANDN 1 Host
Grid0_10 Grid0 10 1000 ANDN 0 Parasite
Grid0_10 Grid0 10 1000 NOR 0 Host
Grid0_10 Grid0 10 1000 NOR 0 Parasite
Grid0_10 Grid0 10 1000 XOR 0 Host
Grid0_10 Grid0 10 1000 XOR 0 Parasite
Grid0_10 Grid0 10 1000 EQU 0 Host
Grid0_10 Grid0 10 1000 EQU 0 Parasite
Grid0_10 Grid0 10 1050 NOT 8337 Host
Grid0_10 Grid0 10 1050 NOT 3808 Parasite
Grid0_10 Grid0 10 1050 NAND 0 Host
Grid0_10 Grid0 10 1050 NAND 11 Parasite
Grid0_10 Grid0 10 1050 AND 1 Host
Grid0_10 Grid0 10 1050 AND 0 Parasite
Grid0_10 Grid0 10 1050 ORN 2 Host
Grid0_10 Grid0 10 1050 ORN 1 Parasite
